JointType,posX,posY,posZ,orientationW,orientationX,orientationY,orientationZ,elapsedInMillis
ThumbLeft,-0.4165906,0.8080976,2.951471,0,0,0,0,23670.4275
HandTipRight,0.8463442,0.8602358,3.009212,0,0,0,0,23670.4275
ThumbRight,0.8394287,0.7634811,3.019692,0,0,0,0,23670.4275
SpineBase,0.1613167,0.04191538,3.1871,-0.02502595,0.02366924,0.9985018,-0.04251569,23704.1693
SpineMid,0.1750885,0.3455646,3.160835,-0.02452433,0.02364788,0.9985142,-0.04252758,23704.1693
Neck,0.1887258,0.6410967,3.122247,-0.02481478,0.02447226,0.9961586,-0.08033276,23704.1693
Head,0.1987012,0.7698702,3.07027,0,0,0,0,23704.1693
ShoulderLeft,-0.0004127282,0.5647756,3.155167,0.08059082,0.7138575,-0.6956356,0.001917484,23704.1693
ElbowLeft,-0.2469025,0.5826743,3.14174,0.6969153,-0.2439002,0.2246499,0.6358886,23704.1693
WristLeft,-0.3457388,0.7650374,2.995851,0.6526973,-0.06914404,-0.6584429,0.3683183,23704.1693
HandLeft,-0.3922921,0.8374577,2.968525,0.7024046,0.06466756,-0.6383693,0.3081083,23704.1693
ShoulderRight,0.3780249,0.5478124,3.13788,0.04772724,0.7426632,0.6668407,-0.03869164,23704.1693
ElbowRight,0.6244597,0.528971,3.137613,-0.657354,0.1870029,0.1725371,0.7093282,23704.1693
WristRight,0.7811508,0.7151116,3.025782,0.7298947,0.01386197,0.561084,-0.3901876,23704.1693
HandRight,0.8356844,0.783899,3.003508,0.7616516,0.08087399,0.5474133,-0.3371718,23704.1693
HipLeft,0.0819065,0.04260828,3.154802,0.1023673,-0.6837904,0.7025397,-0.1684916,23704.1693
KneeLeft,0.03357246,-0.3771568,3.223873,-0.01495003,-0.687174,0.0977999,0.7197247,23704.1693
AnkleLeft,0.04468792,-0.7355686,3.359123,-0.1188841,-0.587042,0.1351397,0.7892942,23704.1693
FootLeft,0.02306366,-0.8063698,3.302557,0,0,0,0,23704.1693
HipRight,0.2370942,0.04033332,3.146883,-0.1506382,0.6875141,0.6841702,-0.1911637,23704.1693
KneeRight,0.2630266,-0.3711952,3.186416,0.0131834,0.7253687,0.05562018,0.6859831,23704.1693
AnkleRight,0.2459625,-0.7422367,3.242975,0.06822985,0.6812699,0.03955394,0.7277716,23704.1693
FootRight,0.2479809,-0.8175749,3.174783,0,0,0,0,23704.1693
SpineShoulder,0.1854231,0.5683656,3.134144,-0.0243372,0.02449531,0.9976634,-0.05895256,23704.1693
HandTipLeft,-0.4309189,0.9124593,2.973161,0,0,0,0,23704.1693
ThumbLeft,-0.4395655,0.816103,2.960917,0,0,0,0,23704.1693
HandTipRight,0.8846818,0.8512673,3.000977,0,0,0,0,23704.1693
ThumbRight,0.8733403,0.7531379,3.0113,0,0,0,0,23704.1693
SpineBase,0.1647728,0.04390056,3.185826,-0.02598425,0.02503304,0.998367,-0.04428786,23737.6657
SpineMid,0.1792733,0.3464289,3.158538,-0.02581182,0.02502539,0.9983715,-0.04429219,23737.6657
Neck,0.1935635,0.6408046,3.118795,-0.02649433,0.02577601,0.9958963,-0.08260913,23737.6657
Head,0.2026896,0.7701813,3.067065,0,0,0,0,23737.6657
ShoulderLeft,0.002352145,0.5673828,3.153661,0.08489145,0.7089493,-0.7001315,0.0003722815,23737.6657
ElbowLeft,-0.2460347,0.5847955,3.139945,0.694822,-0.2483061,0.2283317,0.6351624,23737.6657
WristLeft,-0.3498669,0.7636288,2.993153,-0.5162042,-0.008598085,0.7655908,-0.3838359,23737.6657
HandLeft,-0.3974578,0.8317485,2.965936,-0.5686726,-0.1306936,0.7524157,-0.3056164,23737.6657
ShoulderRight,0.3839763,0.5495756,3.134979,0.04964845,0.7393743,0.670298,-0.03951233,23737.6657
ElbowRight,0.6296854,0.5323492,3.133065,-0.6596345,0.191013,0.1729588,0.7060323,23737.6657
WristRight,0.7958288,0.7109625,3.022901,0.6596723,0.07216805,0.6312588,-0.4014181,23737.6657
HandRight,0.861618,0.7746187,3.000578,0.6864646,0.1552232,0.605433,-0.3716489,23737.6657
HipLeft,0.08517134,0.04474233,3.153689,0.1000245,-0.6830493,0.7034897,-0.1689406,23737.6657
KneeLeft,0.02874962,-0.3717937,3.199128,0.01126703,-0.6873818,0.08525102,0.7211875,23737.6657
AnkleLeft,0.03906938,-0.7371268,3.351171,-0.1283849,-0.5895563,0.1485109,0.7835084,23737.6657
FootLeft,0.01868938,-0.806645,3.297667,0,0,0,0,23737.6657
HipRight,0.2406512,0.04210036,3.145462,-0.1501161,0.6880811,0.6833701,-0.1923927,23737.6657
KneeRight,0.2637113,-0.3709036,3.186025,0.01646621,0.7260168,0.05375444,0.685375,23737.6657
AnkleRight,0.245893,-0.7409809,3.242731,0.06922717,0.680493,0.03917393,0.7284245,23737.6657
FootRight,0.2478691,-0.8172863,3.174863,0,0,0,0,23737.6657
SpineShoulder,0.19011,0.5683697,3.130996,-0.02598232,0.0258495,0.9974654,-0.0609873,23737.6657
HandTipLeft,-0.4397343,0.9039831,2.970565,0,0,0,0,23737.6657
ThumbLeft,-0.4384423,0.7990584,2.95025,0,0,0,0,23737.6657
HandTipRight,0.9205521,0.838768,3.011858,0,0,0,0,23737.6657
ThumbRight,0.8889904,0.7357854,3.000789,0,0,0,0,23737.6657
SpineBase,0.1672312,0.04486237,3.184242,-0.02982693,0.02681486,0.9981204,-0.04633594,23769.4031
SpineMid,0.1826538,0.3469271,3.155654,-0.0284143,0.02674925,0.9981616,-0.04637384,23769.4031
